Zone,Population,Variation,Exportation totale,Importations Totale,Consommation Totale,Production,Dispo intérieure poulet,Exportations poulet,Importations poulet,Consommation poulet,Stabilité politique,Pib (%),TDI,TAS
Kiribati,114158,6.822123723260741,98000000.0,29000000.0,70000000.0,367000000.0,2000000.0,-63000000.0,1000000.0,2000000.0,1.28,3.0,0.29591836734693877,0.7142857142857143
Koweït,4056099,17.43660596055471,576000000.0,3575000000.0,2788000000.0,816000000.0,189000000.0,-152000000.0,137000000.0,188000000.0,0.17,10.0,6.206597222222222,4.840277777777778
Lesotho,2091534,3.659514978001801,44000000.0,476000000.0,806000000.0,507000000.0,17000000.0,-26000000.0,15000000.0,17000000.0,0.34,10.0,10.818181818181818,18.318181818181817
Lettonie,1951097,-6.043728220585655,4474000000.0,2513000000.0,1829000000.0,5291000000.0,41000000.0,-21000000.0,43000000.0,41000000.0,0.59,8.0,0.5616897630755476,0.40880643719266874
Liban,6819373,18.79587756821631,677000000.0,3226000000.0,4198000000.0,3205000000.0,73000000.0,-34000000.0,13000000.0,73000000.0,-1.69,3.0,4.765140324963072,6.2008862629246675
Libéria,4702226,12.048910452198598,28000000.0,656000000.0,1781000000.0,1873000000.0,50000000.0,-11000000.0,48000000.0,50000000.0,-0.48,0.0,23.428571428571427,63.607142857142854
Lituanie,2845414,-7.034020356967384,6858000000.0,2991000000.0,3050000000.0,10597000000.0,82000000.0,-4000000.0,44000000.0,80000000.0,0.96,11.0,0.43613298337707784,0.4447360746573345
Luxembourg,591910,10.31457485090639,728000000.0,851000000.0,584000000.0,660000000.0,11000000.0,-69000000.0,11000000.0,11000000.0,1.34,5.0,1.168956043956044,0.8021978021978022
Macédoine du Nord,2081996,0.3707019610028214,464000000.0,817000000.0,1841000000.0,2407000000.0,41000000.0,-67000000.0,40000000.0,41000000.0,0.0,5.0,1.7607758620689655,3.9676724137931036
Madagascar,25570512,12.60775302426482,273000000.0,1568000000.0,10792000000.0,14082000000.0,82000000.0,-15000000.0,0.0,73000000.0,-0.66,11.0,5.743589743589744,39.53113553113553
Malaisie,31104646,6.547115180156695,20672000000.0,18355000000.0,16760000000.0,138863000000.0,1621000000.0,157000000.0,68000000.0,1220000000.0,0.05,5.0,0.8879160216718266,0.8107585139318886
