Population,Variation,Production,Dispo intérieure poulet,Exportations poulet,Importations poulet,Consommation poulet,Stabilité politique,Pib (%),TDI,TAS
11175198,12.93891168639697,13676000000.0,161000000.0,-77000000.0,123000000.0,161000000.0,0.3,7.0,13.399280575539569,28.820143884892087
11192855,7.283030111620316,20455000000.0,429000000.0,53000000.0,1000000.0,403000000.0,-0.33,10.0,1.5533063427800269,8.411605937921728
3351525,-7.56213962300744,3628000000.0,55000000.0,-32000000.0,10000000.0,56000000.0,-0.4,6.0,3.3200589970501473,4.898230088495575
2205080,7.506485025486599,687000000.0,7000000.0,-11000000.0,3000000.0,7000000.0,1.1,11.0,19.354166666666668,24.5
207833823,4.112191113378117,1216178000000.0,9982000000.0,4018000000.0,3000000.0,9982000000.0,-0.26,14.0,0.11478936865847238,1.040858775276736
7102444,-3.260272097886295,16593000000.0,157000000.0,-10000000.0,108000000.0,157000000.0,0.17,9.0,0.3716026241799438,0.60543580131209
19193234,13.660965108850338,10781000000.0,46000000.0,-8000000.0,0.0,44000000.0,-0.76,9.0,2.983108108108108,32.354729729729726
537498,6.002440939315129,150000000.0,10000000.0,-55000000.0,12000000.0,9000000.0,0.78,6.0,9.03448275862069,9.620689655172415
16009409,7.676454514966792,25990000000.0,38000000.0,-11000000.0,10000000.0,37000000.0,-0.14,10.0,0.6641459074733096,3.588523131672598
24566073,12.540905500036578,32825000000.0,82000000.0,-12000000.0,0.0,78000000.0,-0.53,7.0,3.641566265060241,25.29668674698795
36732095,4.927747791134707,129752000000.0,1433000000.0,15000000.0,182000000.0,1433000000.0,1.06,7.0,0.29537044029907106,0.5127256249527982
18470439,5.793538529322433,25580000000.0,672000000.0,122000000.0,155000000.0,672000000.0,0.36,10.0,0.8075778388278388,1.4292582417582418
7306322,3.551362778700421,444000000.0,280000000.0,429000000.0,907000000.0,391000000.0,0.92,6.0,2.6730396231643114,1.57134940426711
622585,9.403695880883742,21000000.0,19000000.0,-127000000.0,23000000.0,21000000.0,0.76,11.0,48.9,44.9
1421021791,2.590768856126563,2147703000000.0,18161000000.0,418000000.0,452000000.0,17518000000.0,-0.54,9.0,5.115475391915729,34.19254180020372
23674546,1.383975853222266,13170000000.0,785000000.0,-78000000.0,161000000.0,785000000.0,0.87,6.9,8.645296584781306,9.084481725584181
1179678,3.7834053021248217,850000000.0,38000000.0,-90000000.0,14000000.0,30000000.0,0.56,8.0,2.8811369509043927,2.0775193798449614
48909839,5.794582558327373,85126000000.0,1643000000.0,-116000000.0,78000000.0,1565000000.0,-1.29,10.0,2.3701853008536333,8.007495315427857
5110695,11.749791368884274,3494000000.0,110000000.0,-71000000.0,104000000.0,110000000.0,-0.48,8.0,83.55555555555556,347.55555555555554
4949954,5.292049178638827,15285000000.0,134000000.0,-63000000.0,17000000.0,131000000.0,0.68,2.0,0.3600431674086065,0.4628355591528396
